Timestamp,Target_ID,Center_X,Center_Y
2025-06-16 09:13:09,1,305,154
2025-06-16 09:13:09,1,310,153
2025-06-16 09:13:10,1,323,150
2025-06-16 09:13:10,1,344,150
2025-06-16 09:13:10,1,328,155
2025-06-16 09:13:10,1,310,162
2025-06-16 09:13:11,1,323,180
2025-06-16 09:13:11,1,314,190
2025-06-16 09:13:11,1,296,177
2025-06-16 09:13:12,1,294,152
2025-06-16 09:13:12,1,298,146
2025-06-16 09:13:12,1,304,145
2025-06-16 09:13:12,1,297,123
2025-06-16 09:13:13,1,267,94
2025-06-16 09:13:13,1,251,109
2025-06-16 09:13:13,1,213,148
2025-06-16 09:13:13,1,170,179
2025-06-16 09:13:14,1,150,204
2025-06-16 09:13:14,1,152,218
2025-06-16 09:13:14,1,165,221
2025-06-16 09:13:14,1,195,225
2025-06-16 09:13:15,1,256,214
2025-06-16 09:13:15,1,349,207
2025-06-16 09:13:15,1,368,209
2025-06-16 09:13:16,1,386,211
2025-06-16 09:13:16,1,404,213
2025-06-16 09:13:16,1,422,216
2025-06-16 09:13:16,1,441,218
2025-06-16 09:13:16,1,459,220
2025-06-16 09:13:17,1,477,223
2025-06-16 09:13:17,1,496,225
2025-06-16 09:13:17,1,514,227
2025-06-16 09:13:18,1,532,229
2025-06-16 09:13:18,1,551,232
2025-06-16 09:13:18,1,569,235
2025-06-16 09:13:18,1,587,237
2025-06-16 09:13:19,1,606,239
2025-06-16 09:13:19,1,624,241
2025-06-16 09:13:19,1,642,244
2025-06-16 09:13:19,1,661,246
2025-06-16 09:13:20,1,679,248
2025-06-16 09:13:20,1,697,251
2025-06-16 09:13:20,1,716,253
2025-06-16 09:13:20,1,734,255
2025-06-16 09:13:23,5,195,211
2025-06-16 09:13:23,5,184,218
2025-06-16 09:13:24,5,199,203
2025-06-16 09:13:24,5,233,173
2025-06-16 09:13:24,5,255,161
2025-06-16 09:13:24,5,262,153
2025-06-16 09:13:25,5,257,153
2025-06-16 09:13:25,5,234,154
2025-06-16 09:13:25,5,223,151
2025-06-16 09:13:26,5,214,150
2025-06-16 09:13:26,5,208,155
2025-06-16 09:13:26,5,205,155
2025-06-16 09:13:26,5,208,158
2025-06-16 09:13:27,5,220,160
2025-06-16 09:13:27,5,224,164
2025-06-16 09:13:27,5,231,170
2025-06-16 09:13:27,5,234,173
2025-06-16 09:13:28,5,235,175
2025-06-16 09:13:28,5,236,181
2025-06-16 09:13:28,5,242,184
2025-06-16 09:13:28,5,272,190
2025-06-16 09:13:29,5,308,186
2025-06-16 09:13:29,5,336,180
2025-06-16 09:13:29,5,372,172
2025-06-16 09:13:29,5,394,172
2025-06-16 09:13:30,5,402,168
2025-06-16 09:13:30,5,403,171
2025-06-16 09:13:30,5,400,170
2025-06-16 09:13:31,5,398,171
2025-06-16 09:13:31,5,389,169
2025-06-16 09:13:31,5,381,174
2025-06-16 09:13:31,5,377,174
2025-06-16 09:13:32,5,392,179
2025-06-16 09:13:32,5,405,180
2025-06-16 09:13:32,5,408,182
2025-06-16 09:13:32,5,394,186
2025-06-16 09:13:33,5,407,187
2025-06-16 09:13:33,5,414,189
2025-06-16 09:13:33,5,413,190
2025-06-16 09:13:33,5,398,184
2025-06-16 09:13:34,5,379,187
2025-06-16 09:13:34,5,351,182
2025-06-16 09:13:34,5,321,184
2025-06-16 09:13:34,5,298,182
2025-06-16 09:13:35,5,276,186
2025-06-16 09:13:35,5,258,183
2025-06-16 09:13:35,5,237,181
2025-06-16 09:13:36,5,226,186
2025-06-16 09:13:36,5,232,188
2025-06-16 09:13:36,5,232,191
2025-06-16 09:13:36,5,232,185
2025-06-16 09:13:37,5,229,184
2025-06-16 09:13:37,5,231,183
2025-06-16 09:13:37,5,254,182
2025-06-16 09:13:37,5,285,182
2025-06-16 09:13:38,5,326,179
2025-06-16 09:13:38,5,338,177
2025-06-16 09:13:38,5,327,178
2025-06-16 09:13:38,5,301,180
2025-06-16 09:13:39,5,272,193
2025-06-16 09:13:39,5,240,211
2025-06-16 09:13:39,5,218,220
2025-06-16 09:13:40,5,217,226
2025-06-16 09:13:40,5,249,228
2025-06-16 09:13:40,5,302,207
2025-06-16 09:13:40,5,347,191
2025-06-16 09:13:41,5,367,179
2025-06-16 09:13:41,5,353,178
2025-06-16 09:13:41,5,342,179
2025-06-16 09:13:41,5,350,172
2025-06-16 09:13:42,5,367,160
2025-06-16 09:13:42,5,381,167
2025-06-16 09:13:42,5,384,185
2025-06-16 09:13:42,5,379,212
2025-06-16 09:13:43,5,374,239
2025-06-16 09:13:43,5,357,271
2025-06-16 09:13:43,5,348,283
2025-06-16 09:13:43,5,355,275
2025-06-16 09:13:44,5,359,263
2025-06-16 09:13:44,5,379,244
2025-06-16 09:13:44,5,381,243
2025-06-16 09:13:45,5,376,250
2025-06-16 09:13:45,5,336,254
2025-06-16 09:13:45,5,326,256
2025-06-16 09:13:45,5,287,267
2025-06-16 09:13:46,5,286,292
